_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302d7fd35,3NHH6BNT6,15,UCNE
5885864dbebc58b0fe92b09302d7c50c,J5NCD3S5R,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d79150,MQRT7NGXG,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d74c54,NFRJ7ARNT,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d71200,XVW8N2P6Z,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d6fa5d,GZMY8N5T7,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d6bca7,Y3W2P6GYP,15,UCNE
5885864dbebc58b0fe92b09302d696cf,4CG9MFZF3,15,UCNE
5885864dbebc58b0fe92b09302d6836b,1YSR0S1Z=,15,UCNE
5885864dbebc58b0fe92b09302d666f6,3HH607B2G,15,UCNE
5885864dbebc58b0fe92b09302d657b2,8XECJ3BJ8,15,UCNE
5885864dbebc58b0fe92b09302d38cd5,RV1ADWZC=,15,UCNE
5885864dbebc58b0fe92b09302d62a9f,PRDKRD7GP,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d28e10,JY4D1KVQD,15,UCNE
5885864dbebc58b0fe92b09302d57c0a,Q340N7FE0,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d588a8,PGETTP5FN,15,UCNE
5885864dbebc58b0fe92b09302d5862c,R9T29YSAP,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d23083,C3BBXQ41*,15,UCNE
5885864dbebc58b0fe92b09302d53e08,HTMAN8RX7,15,UCNE
5885864dbebc58b0fe92b09302d52028,P3NWQS9F~,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d1ddde,ZZ83Q3X6T,15,UCNE
5885864dbebc58b0fe92b09302d45756,Y1BKJ5240,15,UCNE
5885864dbebc58b0fe92b09302d143f5,49P4SC2M4,15,UCNE
5885864dbebc58b0fe92b09302d43af9,PM4TBV6RK,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d3d30a,BDKKF87S7,15,UCNE
5885864dbebc58b0fe92b09302d3affe,XGEVXS8RZ,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d3822b,A231WWZ9Q,15,UCNE
5885864dbebc58b0fe92b09302d0f9f6,73ST5B3ET,15,UCNE
5885864dbebc58b0fe92b09302d32c2f,84C38XVHZ,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d2dc8e,KJ1W251NS,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d30249,DRT8S9CQQ,15,UCNE
5885864dbebc58b0fe92b09302d2d42f,EQXY7WQTC,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d27278,G8R4MC3AM,15,UCNE
5885864dbebc58b0fe92b09302d1e7ef,EJP2XY4YZ,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d21318,R5CVBCWK2,15,UCNE
5885864dbebc58b0fe92b09302cfc36e,7D7A4GZDQ,15,UCNE
5885864dbebc58b0fe92b09302d1ff40,BMMRCJMA0,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d1b5db,FBF47GD79,15,UCNE
5885864dbebc58b0fe92b09302d1935d,58BZ4QJDJ,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d17eff,A3843JJAZ,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d17381,WWBPNG0CH,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302d0d1d7,H86HCWJ2K,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302d02fd8,WYQXQVDBS,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302cfbd53,8MV13SRAC,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302cf6feb,7N27MFSJZ,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302cf1825,W2KSHAKGV,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302ce970a,SA369DFDJ,15,UCNE
5885864dbebc58b0fe92b09302ce4f89,JSYBP40EH,15,UCNE
5885864dbebc58b0fe92b09302cd8c65,5GKETYQT4,15,UCNE
5885864dbebc58b0fe92b09302cce8ac,SWZTZQ5EQ,15,UCNE
5885864dbebc58b0fe92b09302cc7998,TKH7288PP,15,UCNE
5885864dbebc58b0fe92b09302cb5110,C2JMV4MZ=,15,UCNE
5885864dbebc58b0fe92b09302cea9d5,R93NN4D3G,,
5885864dbebc58b0fe92b09302ce907d,9CED622MT,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302ce6cf7,EYPHQX982,15,UCNE
