UUID,Registro Comletado,Encuesta Completada,
4APXVD9PV,No,Si,Disponible
3SPEPNDKU,No,Si,Disponible
X98VFWKSC,No,Si,Disponible
QJP8GARG3,No,Si,Disponible
CC50ZPJ49,No,Si,Disponible
P5V968HVU,No,Si,Disponible
5EXHD6PNB,No,Si,Disponible
PB70EJZ01,No,Si,Disponible
3608RG60E,No,No,Disponible
CC4ZH4Z9*,No,No,Disponible
93ENH7YBD,No,No,Disponible
TRUV62221,No aparece,No aparece,No aparece
Y2ZVK6A4H,No,No,Disponible
Z9S4HFHFJ,No,No,Disponible
D28VTQ5TF,No,Si,Disponible
MG681TFQ7,No,No,Disponible
NGH77DR2T,No aparece,No aparece,No aparece
2Y8C95QME,No,No,Disponible
65YNCND1G,No,No,Disponible
620EPVV9B,No aparece,No aparece,No aparece
VTYBM7AFY,No aparece,No aparece,No aparece
XQ7WFS5VP,No aparece,No aparece,No aparece
59SCQBFKS,No,No,Disponible
467NX0T4U,No,No,Disponible
9HDPC009Y,No aparece,No aparece,No aparece
PCEM45JV=,No aparece,No aparece,No aparece
207PVYNZJ,No,No,Disponible
QPDE02QAE,No,No,Disponible
YXJ2B85HN,No,No,Disponible
ZTGKWTDEZ,No,No,Disponible
0MC2ZCZN=,No aparece,No aparece,No aparece
SPJWZYS1R,No aparece,No aparece,No aparece
QHNTZHVHU,No,No,Disponible
RJ8YCW23=,No,Si,Disponible
FSC58M4FA,No aparece,No aparece,No aparece
V31RVZDWG,No,no,Disponible
P85A2EG93,No,Si,Disponible
M6P8YSAMY,No,No,Disponible
VJX14NX8,No aparece,No aparece,No aparece
18E9PBKG,No aparece,No aparece,No aparece
59DQB3C˜,No aparece,No aparece,No aparece
43FCHAYT2,No aparece,No aparece,No aparece
8WVEDHB1Q,No,No,Disponible
PY8YJDDWA,No,No,Disponible
BSNVA7NY,No aparece,No aparece,No aparece
FNEYK89CP,No,No,Disponible
